id	wave	date	polarization	time	interviewdistance	edate	treated	fortuyn	pvda	vvd	lpf	cda	age	female	rural	sclass	polkno	religion	dlr	postlr	lprelr	lpf_id_broad	vvd_id_broad	cu_id_broad	cda_id_broad	d66_id_broad	pvda_id_broad	gl_id_broad	sp_id_broad	rightid	leftid	asylum	crime	euthanasia	inequality	sample
25.0	3.0	2003-01-24		254.0	34.0	2002-05-15	1.0	1.0	1.0	0.0	0.0	0.0	58.083332	2.0	1.0	2.0	12.0	0.0				0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0	7.0	1.0	1.0	
26.0	1.0	2002-04-26	3.0	-19.0	27.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	45.25	1.0	1.0	3.0	9.0	1.0				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	7.0	1.0	2.0	1.0
26.0	2.0	2002-05-23	5.0	8.0	27.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	45.333332	1.0	1.0	3.0	9.0	1.0	-2.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	7.0	1.0	2.0	1.0
26.0	3.0	2003-02-24		285.0	27.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	46.083332	1.0	1.0	3.0	9.0	1.0				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	7.0	1.0	2.0	
27.0	1.0	2002-04-19	2.0	-26.0	40.0	2002-05-15	0.0	0.0	1.0	0.0	0.0	0.0	59.75	1.0	1.0	5.0	11.0	0.0				0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	7.0	2.0	2.0	1.0
27.0	2.0	2002-05-29	3.0	14.0	40.0	2002-05-15	1.0	1.0	1.0	0.0	0.0	0.0	59.833332	1.0	1.0	5.0	11.0	0.0	-1.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	7.0	2.0	2.0	1.0
28.0	1.0	2002-04-15	1.0	-30.0	35.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	30.5	1.0	1.0	5.0	6.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	3.0	4.0	1.0
28.0	2.0	2002-05-20	1.0	5.0	35.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	30.583334	1.0	1.0	5.0	6.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	3.0	4.0	1.0
28.0	3.0	2003-01-24		254.0	35.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	31.25	1.0	1.0	5.0	6.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	3.0	4.0	
29.0	1.0	2002-05-06	5.0	-9.0	31.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	52.333332	1.0	1.0	3.0	11.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	5.0	4.0	1.0	1.0
29.0	2.0	2002-06-06	4.0	22.0	31.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	52.416668	1.0	1.0	3.0	11.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	5.0	4.0	1.0	1.0
29.0	3.0	2003-02-07		268.0	31.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	53.083332	1.0	1.0	3.0	11.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	5.0	4.0	1.0	
30.0	1.0	2002-04-22	4.0	-23.0	38.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	62.333332	2.0	1.0	3.0	1.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	5.0	1.0	2.0	1.0
30.0	2.0	2002-05-30	4.0	15.0	38.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	62.416668	2.0	1.0	3.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	5.0	1.0	2.0	1.0
30.0	3.0	2003-01-30		260.0	38.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	63.083332	2.0	1.0	3.0	1.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	5.0	1.0	2.0	
31.0	1.0	2002-04-24	0.0	-21.0	33.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	1.0	58.583332	1.0	1.0	4.0	7.0	0.0				0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	6.0	2.0	4.0	1.0
31.0	2.0	2002-05-27	2.0	12.0	33.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	1.0	58.666668	1.0	1.0	4.0	7.0	0.0	2.0	8.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	6.0	2.0	4.0	1.0
31.0	3.0	2003-01-29		259.0	33.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	1.0	59.333332	1.0	1.0	4.0	7.0	0.0				0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	6.0	2.0	4.0	
32.0	1.0	2002-04-17	2.0	-28.0	34.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	1.0	71.333336	2.0	1.0	3.0	10.0	1.0				0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	6.0	6.0	4.0	1.0
32.0	2.0	2002-05-21	0.0	6.0	34.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	1.0	71.416664	2.0	1.0	3.0	10.0	1.0	-2.0	6.0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	6.0	6.0	4.0	1.0
32.0	3.0	2003-01-24		254.0	34.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	1.0	72.083336	2.0	1.0	3.0	10.0	1.0				0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	6.0	6.0	4.0	
